Zone_,Code zone (ISO3)_,TAS_V,TDI_V,M_V,crl_n,C_Vol,C_Viande,Q__Vol,D_ Kca,stabilite_politique,acces_leau,Population totale,pib
Turkménistan,TKM,61.8,29.4,27.85,74.06,26.0,337.83,21.0,345.8,-0.13,99.0,5968.383,14205.0
Timor-Leste,TLS,4.8,57.1,20.18,11.059999999999999,5.0,29.33,1.0,188.38,0.07,80.0,1243.235,3177.5
Trinité-et-Tobago,TTO,72.7,26.1,55.31,94.0,86.0,126.25999999999999,64.0,335.72999999999996,0.28,99.0,1478.607,27277.9
Tunisie,TUN,94.3,0.0,49.82,2283.14,195.0,409.51,215.0,135.46,-1.02,96.0,11811.443,11234.5
Turquie,TUR,123.6,0.2,700.47,13922.76,1760.0,3524.77,2192.0,162.10999999999999,-1.79,97.0,82089.826,27913.8
"Chine, Taiwan Province de",TWN,79.3,19.4,1249.49,5140.68,791.0,2124.13,657.0,447.21000000000004,0.86,87.6,23665.024,20657.0
République-Unie de Tanzanie,TZA,98.5,3.0,23.19,843.03,68.0,875.8600000000001,65.0,64.49,-0.56,57.0,56267.032,2530.6
Ouganda,UGA,100.0,0.0,7.359999999999999,145.02,66.0,883.96,65.0,90.31,-0.57,51.0,40127.085,2074.7
Ukraine,UKR,114.1,11.4,449.34000000000003,5678.07,1054.0,2493.75,1211.0,234.55999999999997,-1.87,94.0,44657.257,11860.6
Uruguay,URY,100.0,9.1,61.68,596.0,32.0,209.81,33.0,335.69,1.05,99.0,3422.2,23009.9
États-Unis d'Amérique,USA,119.2,0.7,4643.91,141003.02,18140.0,41603.95,21914.0,462.15999999999997,0.29,100.0,329791.231,59914.8
Ouzbékistan,UZB,90.6,12.5,18.17,1807.19,67.0,1258.68,58.0,233.97999999999996,-0.24,98.0,31945.682,6840.7
Saint-Vincent-et-les Grenadines,VCT,0.0,100.0,11.89,8.0,8.0,11.68,0.0,440.5,0.89,95.0,105.549,13102.1
Venezuela (République bolivarienne du),VEN,95.3,4.7,73.53,1549.98,486.0,1273.6599999999999,462.0,141.64,-1.27,94.0,30563.433,20657.0
Viet Nam,VNM,94.2,6.7,1291.42,15189.39,928.0,7429.46,874.0,468.78000000000003,0.23,95.0,94033.048,8996.4
Vanuatu,VUT,20.0,80.0,8.030000000000001,1.0,5.0,18.82,1.0,305.03999999999996,0.7,91.0,290.239,3081.5
Samoa,WSM,0.0,89.5,27.6,0.0,13.0,27.34,0.0,583.56,1.18,87.6,207.63,6486.1
Yémen,YEM,67.6,32.4,101.16,381.01,253.0,507.75,171.0,78.88,-2.94,58.0,30034.389,20657.0
Afrique du Sud,ZAF,78.5,24.2,753.3,5465.18,2110.0,3703.37,1665.0,328.62,-0.28,93.0,56641.209,13860.3
Zambie,ZMB,81.7,20.0,155.74,479.83,60.0,503.48,49.0,121.01,0.15,87.6,17298.054,3485.0
Zimbabwe,ZWE,92.0,8.0,33.989999999999995,225.66,75.0,773.28,69.0,265.53000000000003,-0.71,64.0,14751.101,3795.6
